Date,S&P 500,Dow Jones,Nasdaq Composite,Russell 2000,Nasdaq 100,FTSE 100,DAX
2010-09-24,1148.6700439453125,10860.259765625,2381.219970703125,671.010009765625,2023.8399658203125,5598.5,6298.2998046875
2010-09-27,1142.1600341796875,10812.0400390625,2369.77001953125,668.2899780273438,2010.989990234375,5573.39990234375,6278.89013671875
2010-09-28,1147.699951171875,10858.1396484375,2379.590087890625,675.4299926757812,2012.4300537109375,5578.39990234375,6276.08984375
2010-09-29,1144.72998046875,10835.2802734375,2376.56005859375,677.6400146484375,2009.0799560546875,5569.2998046875,6246.919921875
2010-09-30,1141.199951171875,10788.0498046875,2368.6201171875,676.1400146484375,1998.0400390625,5548.60009765625,6229.02001953125
2010-10-01,1146.239990234375,10829.6796875,2370.75,679.2899780273438,1996.5999755859375,5592.89990234375,6211.33984375
2010-10-04,1137.030029296875,10751.26953125,2344.52001953125,669.4500122070312,1975.3299560546875,5556.0,6134.2099609375
2010-10-05,1160.75,10944.7197265625,2399.830078125,689.3499755859375,2024.6300048828125,5635.7998046875,6215.830078125
2010-10-06,1159.969970703125,10967.650390625,2380.659912109375,685.3300170898438,2006.52001953125,5681.39990234375,6270.72998046875
2010-10-07,1158.06005859375,10948.580078125,2383.669921875,684.22998046875,2011.6300048828125,5662.10009765625,6276.25
2010-10-08,1165.1500244140625,11006.48046875,2401.909912109375,693.8200073242188,2027.030029296875,5657.60009765625,6291.669921875
2010-10-11,1165.3199462890625,11010.33984375,2402.330078125,693.47998046875,2026.97998046875,5672.39990234375,6309.509765625
2010-10-12,1169.77001953125,11020.400390625,2417.919921875,696.0399780273438,2041.550048828125,5661.60009765625,6304.56982421875
2010-10-13,1178.0999755859375,11096.080078125,2441.22998046875,706.469970703125,2057.25,5747.39990234375,6434.52001953125
2010-10-14,1173.81005859375,11094.5703125,2435.3798828125,704.6900024414062,2054.510009765625,5727.2001953125,6455.27001953125
2010-10-15,1176.18994140625,11062.7802734375,2468.77001953125,703.1599731445312,2097.72998046875,5703.39990234375,6492.2998046875
2010-10-18,1184.7099609375,11143.6904296875,2480.659912109375,710.1300048828125,2104.14990234375,5742.5,6516.6298828125
2010-10-19,1165.9000244140625,10978.6201171875,2436.949951171875,694.1500244140625,2069.72998046875,5703.89990234375,6490.68994140625
2010-10-20,1178.1700439453125,11107.9697265625,2457.389892578125,702.1099853515625,2085.75,5728.89990234375,6524.5498046875
2010-10-21,1180.260009765625,11146.5703125,2459.669921875,698.1199951171875,2090.10009765625,5757.89990234375,6611.009765625
2010-10-22,1183.0799560546875,11132.5595703125,2479.389892578125,703.4299926757812,2104.2099609375,5741.39990234375,6605.83984375
2010-10-25,1185.6199951171875,11164.0498046875,2490.85009765625,707.8900146484375,2113.550048828125,5752.0,6639.2099609375
2010-10-26,1185.6400146484375,11169.4599609375,2497.2900390625,706.9299926757812,2119.050048828125,5707.2998046875,6613.7998046875
2010-10-27,1182.449951171875,11126.2802734375,2503.260009765625,704.22998046875,2125.8798828125,5646.0,6568.0
2010-10-28,1183.780029296875,11113.9501953125,2507.3701171875,701.030029296875,2129.72998046875,5677.89990234375,6595.27978515625
2010-10-29,1183.260009765625,11118.490234375,2507.409912109375,703.3499755859375,2124.449951171875,5675.2001953125,6601.3701171875
2010-11-01,1184.3800048828125,11124.6201171875,2504.840087890625,698.5599975585938,2128.419921875,5694.60009765625,6604.85986328125
2010-11-02,1193.5699462890625,11188.7197265625,2533.52001953125,712.8900146484375,2151.719970703125,5757.39990234375,6654.31005859375
2010-11-03,1197.9599609375,11215.1298828125,2540.27001953125,715.1400146484375,2158.360107421875,5749.0,6617.7998046875
2010-11-04,1221.06005859375,11434.83984375,2577.340087890625,733.4600219726562,2187.800048828125,5862.7998046875,6734.68994140625
2010-11-05,1225.8499755859375,11444.080078125,2578.97998046875,736.5900268554688,2186.7099609375,5875.39990234375,6754.2001953125
2010-11-08,1223.25,11406.83984375,2580.050048828125,736.77001953125,2188.93994140625,5850.0,6750.5
2010-11-09,1213.4000244140625,11346.75,2562.97998046875,725.97998046875,2176.8798828125,5875.2001953125,6787.81005859375
2010-11-10,1218.7099609375,11357.0400390625,2578.780029296875,734.8699951171875,2187.739990234375,5816.89990234375,6719.83984375
2010-11-11,1213.5400390625,11283.099609375,2555.52001953125,731.5800170898438,2173.110107421875,5815.2001953125,6723.41015625
2010-11-12,1199.2099609375,11192.580078125,2518.2099609375,719.27001953125,2137.949951171875,5796.89990234375,6734.60986328125
2010-11-15,1197.75,11201.9697265625,2513.820068359375,719.9400024414062,2131.47998046875,5820.39990234375,6790.169921875
2010-11-16,1178.3399658203125,11023.5,2469.840087890625,705.3400268554688,2093.6298828125,5681.89990234375,6663.240234375
2010-11-17,1178.5899658203125,11007.8798828125,2476.010009765625,707.77001953125,2100.0,5692.60009765625,6700.06982421875
2010-11-18,1196.68994140625,11181.23046875,2514.39990234375,720.8400268554688,2134.77001953125,5768.7001953125,6832.10986328125
2010-11-19,1199.72998046875,11203.5498046875,2518.1201171875,724.3599853515625,2135.27001953125,5732.7998046875,6843.5498046875
